Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 12.00% semblant
Els directoris [prova3/prova || prova4/prova2]  es 16.50% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 52.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 46.00% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 15.00% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3 || prova4]  es 0% semblant
Els directoris [prova3 || prova4/prova]  es 0% semblant
Els directoris [prova3 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova || prova4]  es 0% semblant
Els directoris [prova3/prova || prova4/prova]  es 12.00% semblant
Els directoris [prova3/prova || prova4/prova2]  es 16.50% semblant
Els directoris [prova3/prova/prova1 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1 || prova4/prova]  es 52.00% semblant
Els directoris [prova3/prova/prova1 || prova4/prova2]  es 51.20% semblant
Els directoris [prova3/prova/prova1/hola || prova4]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova1/hola || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova]  es 0% semblant
Els directoris [prova3/prova/prova6 || prova4/prova2]  es 0% semblant
Els directoris [prova3/prova2 || prova4]  es 0% semblant
Els directoris [prova3/prova2 || prova4/prova]  es 46.00% semblant
Els directoris [prova3/prova2 || prova4/prova2]  es 80.00% semblant
Els directoris [prova3/prova2/prova6 || prova4]  es 0% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova]  es 15.00% semblant
Els directoris [prova3/prova2/prova6 || prova4/prova2]  es 0% semblant
